Date,Product_Name,Actual_Sales
2025-11-17,Soft Drinks,36
2025-11-18,Soft Drinks,28
2025-11-19,Soft Drinks,29
2025-11-20,Soft Drinks,40
2025-11-21,Soft Drinks,45
2025-11-22,Soft Drinks,76
2025-11-23,Soft Drinks,54
2025-11-24,Soft Drinks,49
2025-11-25,Soft Drinks,41
2025-11-26,Soft Drinks,39
2025-11-27,Soft Drinks,63
2025-11-28,Soft Drinks,61
2025-11-29,Soft Drinks,69
2025-11-30,Soft Drinks,75
2025-11-01,Sourdough Toast Bread,1
2025-11-02,Sourdough Toast Bread,5
2025-11-03,Sourdough Toast Bread,1
2025-11-04,Sourdough Toast Bread,1
2025-11-05,Sourdough Toast Bread,0
2025-11-06,Sourdough Toast Bread,0
2025-11-07,Sourdough Toast Bread,1
2025-11-08,Sourdough Toast Bread,2
2025-11-09,Sourdough Toast Bread,1
2025-11-10,Sourdough Toast Bread,2
2025-11-11,Sourdough Toast Bread,1
2025-11-12,Sourdough Toast Bread,0
2025-11-13,Sourdough Toast Bread,1
2025-11-14,Sourdough Toast Bread,0
2025-11-15,Sourdough Toast Bread,1
2025-11-16,Sourdough Toast Bread,2
2025-11-17,Sourdough Toast Bread,0
2025-11-18,Sourdough Toast Bread,2
2025-11-19,Sourdough Toast Bread,0
2025-11-20,Sourdough Toast Bread,0
2025-11-21,Sourdough Toast Bread,0
2025-11-22,Sourdough Toast Bread,4
2025-11-23,Sourdough Toast Bread,1
2025-11-24,Sourdough Toast Bread,0
2025-11-25,Sourdough Toast Bread,0
2025-11-26,Sourdough Toast Bread,0
2025-11-27,Sourdough Toast Bread,1
2025-11-28,Sourdough Toast Bread,0
2025-11-29,Sourdough Toast Bread,2
2025-11-30,Sourdough Toast Bread,2
2025-11-01,Spinach,0
2025-11-02,Spinach,0
2025-11-03,Spinach,0
2025-11-04,Spinach,0
2025-11-05,Spinach,0
2025-11-06,Spinach,0
2025-11-07,Spinach,0
2025-11-08,Spinach,0
2025-11-09,Spinach,0
2025-11-10,Spinach,0
2025-11-11,Spinach,0
2025-11-12,Spinach,0
2025-11-13,Spinach,0
2025-11-14,Spinach,0
2025-11-15,Spinach,0
2025-11-16,Spinach,0
2025-11-17,Spinach,0
2025-11-18,Spinach,0
2025-11-19,Spinach,0
2025-11-20,Spinach,0
2025-11-21,Spinach,0
2025-11-22,Spinach,0
2025-11-23,Spinach,0
2025-11-24,Spinach,0
2025-11-25,Spinach,0
2025-11-26,Spinach,0
2025-11-27,Spinach,0
2025-11-28,Spinach,0
2025-11-29,Spinach,0
2025-11-30,Spinach,0
2025-11-01,Steak Pie,0
2025-11-02,Steak Pie,0
2025-11-03,Steak Pie,0
2025-11-04,Steak Pie,0
2025-11-05,Steak Pie,0
2025-11-06,Steak Pie,0
2025-11-07,Steak Pie,0
2025-11-08,Steak Pie,0
2025-11-09,Steak Pie,0
2025-11-10,Steak Pie,0
2025-11-11,Steak Pie,0
2025-11-12,Steak Pie,0
2025-11-13,Steak Pie,0
2025-11-14,Steak Pie,0
2025-11-15,Steak Pie,0
2025-11-16,Steak Pie,0
2025-11-17,Steak Pie,0
2025-11-18,Steak Pie,0
2025-11-19,Steak Pie,0
2025-11-20,Steak Pie,0
2025-11-21,Steak Pie,0
2025-11-22,Steak Pie,0
2025-11-23,Steak Pie,0
2025-11-24,Steak Pie,0
2025-11-25,Steak Pie,0
2025-11-26,Steak Pie,0
2025-11-27,Steak Pie,0
2025-11-28,Steak Pie,0
2025-11-29,Steak Pie,0
2025-11-30,Steak Pie,0
2025-11-01,Streaky Bacon,0
2025-11-02,Streaky Bacon,0
2025-11-03,Streaky Bacon,0
2025-11-04,Streaky Bacon,0
2025-11-05,Streaky Bacon,0
2025-11-06,Streaky Bacon,1
2025-11-07,Streaky Bacon,0
2025-11-08,Streaky Bacon,0
2025-11-09,Streaky Bacon,0
2025-11-10,Streaky Bacon,0
2025-11-11,Streaky Bacon,0
2025-11-12,Streaky Bacon,0
